timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776171001.631,1.631,0.5,7.88,0.42,11.0,0.33,300.0,0.31,375.0,0.27,450.0,0.63,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.37,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.5,7.88,0.58,11.0,0.67,300.0,0.69,375.0,0.73,450.0,0.13,0.13,615.714726,1776171000000
1776171002.123,2.123,0.5,7.88,0.42,11.0,0.33,300.0,0.31,375.0,0.27,450.0,0.63,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.37,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.5,7.88,0.58,11.0,0.67,300.0,0.69,375.0,0.73,450.0,0.13,0.13,615.714726,1776171000000
1776171003.375,3.375,0.5,7.88,0.42,11.0,0.33,300.0,0.31,375.0,0.27,450.0,0.63,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.37,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.5,7.88,0.58,11.0,0.67,300.0,0.69,375.0,0.73,450.0,0.13,0.13,615.737592,1776171002000
1776171004.026,4.026,0.5,7.88,0.42,11.0,0.33,300.0,0.31,375.0,0.27,450.0,0.63,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.37,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.5,7.88,0.58,11.0,0.67,300.0,0.69,375.0,0.73,450.0,0.13,0.13,615.723063,1776171003000
1776171005.143,5.143,0.5,7.88,0.42,11.0,0.33,300.0,0.31,375.0,0.27,450.0,0.63,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.37,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.5,7.88,0.58,11.0,0.67,300.0,0.69,375.0,0.73,450.0,0.13,0.13,615.734848,1776171004000
1776171006.292,6.292,0.5,7.88,0.42,11.0,0.33,300.0,0.31,375.0,0.27,450.0,0.63,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.37,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.5,7.88,0.58,11.0,0.67,300.0,0.69,375.0,0.73,450.0,0.13,0.13,615.722348,1776171005000
1776171007.492,7.492,0.5,7.88,0.42,11.0,0.33,300.0,0.31,375.0,0.27,450.0,0.63,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.37,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.5,7.88,0.58,11.0,0.67,300.0,0.69,375.0,0.73,450.0,0.13,0.13,615.735233,1776171006000
1776171008.575,8.575,0.5,7.88,0.42,11.0,0.33,300.0,0.31,375.0,0.27,450.0,0.63,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.37,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.5,7.88,0.58,11.0,0.67,300.0,0.69,375.0,0.73,450.0,0.13,0.13,615.749895,1776171007000
1776171009.105,9.105,0.5,7.88,0.42,11.0,0.33,300.0,0.31,375.0,0.27,450.0,0.63,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.37,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.5,7.88,0.58,11.0,0.67,300.0,0.69,375.0,0.73,450.0,0.13,0.13,615.7484,1776171008000
1776171009.987,9.987,0.5,7.88,0.42,11.0,0.33,300.0,0.31,375.0,0.27,450.0,0.63,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.37,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.5,7.88,0.58,11.0,0.67,300.0,0.69,375.0,0.73,450.0,0.13,0.13,615.764485,1776171009000
