timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776391201.417,1.417,0.5,10.0,0.49,6.0,0.59,5.0,0.6,65.0,0.41,5.0,0.4,65.0,0.5,10.0,0.51,6.0,0.09,0.09,631.397978,1776391200000
1776391205.438,5.438,0.49,3.05,0.47,5.0,0.51,5.0,0.52,5.0,0.33,300.0,0.31,375.0,0.5,1.0,0.51,6.0,0.02,0.17,631.227352,1776391204000
1776391209.899,9.899,0.44,5.0,0.43,5.0,0.46,5.0,0.47,10.0,0.5,5.0,0.49,5.0,0.53,5.0,0.54,5.0,0.02,0.03,631.264136,1776391208000
1776391214.106,14.106,0.41,2.0,0.4,5.0,0.42,5.0,0.43,5.0,0.54,5.0,0.53,10.0,0.56,5.0,0.57,5.0,0.01,0.02,631.328278,1776391213000
1776391217.365,17.365,0.41,5.0,0.4,5.0,0.43,5.0,0.44,5.0,0.58,5.0,0.57,5.0,0.59,2.0,0.6,5.0,0.02,0.01,631.233,1776391216000
1776391217.584,17.584,0.4,5.0,0.39,5.0,0.43,5.0,0.44,5.0,0.57,5.0,0.56,5.0,0.59,5.0,0.6,5.0,0.03,0.02,631.233,1776391216000
1776391219.524,19.524,0.36,5.0,0.35,5.0,0.39,5.0,0.4,15.0,0.57,5.0,0.56,5.0,0.6,5.0,0.61,5.0,0.03,0.03,631.256,1776391218000
1776391222.722,22.722,0.38,1.85,0.37,5.0,0.4,10.0,0.41,10.0,0.61,5.0,0.6,15.0,0.64,5.0,0.65,5.0,0.02,0.03,631.248698,1776391221000
1776391224.349,24.349,0.39,3.36,0.38,1.85,0.4,10.0,0.41,5.0,0.6,10.0,0.59,10.0,0.62,1.85,0.63,5.0,0.01,0.02,631.21,1776391223000
1776391237.213,37.213,0.42,5.0,0.41,5.0,0.43,2.0,0.44,5.0,0.6,10.0,0.59,5.0,0.61,3.36,0.62,1.85,0.01,0.01,631.203626,1776391235000
1776391237.524,37.524,0.41,2.0,0.4,5.0,0.43,10.0,0.44,5.0,0.58,5.0,0.56,5.0,0.59,5.0,0.6,5.0,0.02,0.01,631.21133,1776391236000
1776391237.952,37.952,0.44,8.21,0.43,10.0,0.46,5.0,0.47,5.0,0.57,10.0,0.56,5.0,0.59,2.0,0.6,5.0,0.02,0.02,631.21133,1776391236000
1776391256.563,56.563,0.44,2.0,0.36,5.0,0.45,10.0,0.46,15.0,0.54,5.0,0.53,5.0,0.56,8.21,0.57,10.0,0.01,0.02,631.308585,1776391255000
1776391270.376,70.376,0.36,5.0,0.34,15.0,0.38,5.0,0.39,5.0,0.55,10.0,0.54,15.0,0.56,2.0,0.64,5.0,0.02,0.01,631.252068,1776391269000
1776391274.873,74.873,0.35,6.92,0.34,15.0,0.37,5.0,0.38,5.0,0.62,5.0,0.61,5.0,0.64,5.0,0.66,15.0,0.02,0.02,631.251,1776391273000
1776391283.433,83.433,0.34,7.0,0.3,5.0,0.36,5.0,0.37,5.0,0.63,5.0,0.62,5.0,0.65,6.92,0.66,15.0,0.02,0.02,631.249762,1776391281000
1776391283.785,83.785,0.3,5.0,0.29,5.0,0.33,5.0,0.34,5.0,0.64,5.0,0.63,5.0,0.66,7.0,0.7,5.0,0.03,0.02,631.247717,1776391282000
1776391284.017,84.017,0.31,5.0,0.3,15.0,0.34,5.0,0.35,5.0,0.67,5.0,0.66,5.0,0.7,5.0,0.71,5.0,0.03,0.03,631.247717,1776391282000
1776391290.155,90.155,0.36,3.0,0.35,5.0,0.39,10.0,0.4,5.0,0.66,5.0,0.65,5.0,0.69,5.0,0.7,15.0,0.03,0.03,631.204014,1776391288000
1776391308.627,108.627,0.28,5.0,0.27,8.0,0.29,5.0,0.3,5.0,0.61,10.0,0.6,5.0,0.64,3.0,0.65,5.0,0.01,0.03,631.23503,1776391306000
1776391309.641,109.641,0.26,4.0,0.25,5.0,0.28,5.0,0.29,5.0,0.71,5.0,0.7,5.0,0.72,5.0,0.73,8.0,0.02,0.01,631.22071,1776391308000
1776391313.313,113.313,0.24,31.66,0.23,19.7,0.25,5.0,0.26,5.0,0.72,5.0,0.71,5.0,0.74,4.0,0.75,5.0,0.01,0.02,631.147411,1776391311000
1776391315.14,115.14,0.24,31.66,0.23,19.7,0.28,1.07,0.29,5.0,0.75,5.0,0.74,5.0,0.76,31.66,0.77,19.7,0.04,0.01,631.150589,1776391313000
1776391320.32,120.32,0.28,5.0,0.27,5.0,0.3,5.0,0.31,5.0,0.72,1.07,0.71,5.0,0.76,31.66,0.77,19.7,0.02,0.04,631.101166,1776391319000
1776391321.77,121.77,0.3,4.85,0.29,5.0,0.32,15.0,0.34,5.0,0.7,5.0,0.69,5.0,0.72,5.0,0.73,5.0,0.02,0.02,631.09621,1776391320000
1776391322.102,122.102,0.31,5.0,0.3,4.85,0.32,10.0,0.33,5.0,0.68,15.0,0.66,5.0,0.7,4.85,0.71,5.0,0.01,0.02,631.09621,1776391320000
1776391327.288,127.288,0.31,5.0,0.3,4.85,0.33,5.0,0.34,5.0,0.68,10.0,0.67,5.0,0.69,5.0,0.7,4.85,0.02,0.01,631.156,1776391326000
1776391327.683,127.683,0.34,5.0,0.33,5.0,0.36,2.0,0.37,5.0,0.67,5.0,0.66,5.0,0.69,5.0,0.7,4.85,0.02,0.02,631.156,1776391326000
1776391329.405,129.405,0.34,5.0,0.33,5.0,0.37,5.0,0.38,5.0,0.64,2.0,0.63,5.0,0.66,5.0,0.67,5.0,0.03,0.02,631.166,1776391328000
1776391333.679,133.679,0.42,5.0,0.41,5.0,0.44,2.0,0.45,5.0,0.63,5.0,0.62,5.0,0.66,5.0,0.67,5.0,0.02,0.03,631.221,1776391332000
1776391340.568,140.568,0.27,10.0,0.26,18.5,0.29,5.0,0.3,5.0,0.56,2.0,0.55,5.0,0.58,5.0,0.59,5.0,0.02,0.02,631.198,1776391339000
1776391341.769,141.769,0.27,10.0,0.26,18.5,0.29,5.0,0.3,5.0,0.71,5.0,0.7,5.0,0.73,10.0,0.74,18.5,0.02,0.02,631.203861,1776391340000
1776391343.494,143.494,0.25,12.0,0.24,5.0,0.26,5.0,0.27,5.0,0.71,5.0,0.7,5.0,0.73,10.0,0.74,18.5,0.01,0.02,631.176624,1776391341000
1776391345.491,145.491,0.24,5.0,0.23,5.0,0.26,5.0,0.27,5.0,0.74,5.0,0.73,5.0,0.75,12.0,0.76,5.0,0.02,0.01,631.168201,1776391344000
1776391358.914,158.914,0.25,2.33,0.24,5.0,0.26,5.0,0.27,5.0,0.74,5.0,0.73,5.0,0.76,5.0,0.77,5.0,0.01,0.02,631.111911,1776391357000
1776391372.295,172.295,0.16,24.3,0.15,20.39,0.19,5.0,0.2,5.0,0.74,5.0,0.73,5.0,0.75,2.33,0.76,5.0,0.03,0.01,631.096117,1776391371000
1776391387.167,187.167,0.22,4.43,0.21,65.7,0.23,5.0,0.24,5.0,0.81,5.0,0.8,5.0,0.84,24.3,0.85,20.39,0.01,0.03,631.135562,1776391385000
1776391388.107,188.107,0.26,5.0,0.25,5.0,0.28,2.0,0.29,5.0,0.77,5.0,0.76,5.0,0.78,4.43,0.79,65.7,0.02,0.01,631.135562,1776391386000
