timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,doge_price,doge_oracle_ts
1776167411.321,11.321,0.37,5.0,0.33,10.0,0.31,26.0,0.3,10.0,0.29,10.0,0.48,5.0,0.5,5.0,0.51,50.0,0.55,10.0,0.56,31.0,0.52,5.0,0.5,5.0,0.49,50.0,0.45,10.0,0.44,31.0,0.62,5.0,0.63,5.0,0.67,10.0,0.69,26.0,0.7,10.0,0.11,0.1,0.094336,1776167410000
1776167411.587,11.587,0.38,5.0,0.37,5.0,0.33,10.0,0.31,26.0,0.3,10.0,0.48,5.0,0.5,5.0,0.51,50.0,0.55,10.0,0.56,31.0,0.52,5.0,0.5,5.0,0.49,50.0,0.45,10.0,0.44,31.0,0.62,5.0,0.63,5.0,0.67,10.0,0.69,26.0,0.7,10.0,0.1,0.1,0.094336,1776167410000
1776167412.444,12.444,0.38,5.0,0.37,5.0,0.33,10.0,0.31,26.0,0.3,10.0,0.48,5.0,0.5,5.0,0.51,50.0,0.55,10.0,0.56,31.0,0.52,5.0,0.5,5.0,0.49,50.0,0.45,10.0,0.44,31.0,0.62,5.0,0.63,5.0,0.67,10.0,0.69,26.0,0.7,10.0,0.1,0.1,0.094336,1776167411000
1776167413.024,13.024,0.38,5.0,0.37,5.0,0.33,10.0,0.31,26.0,0.3,10.0,0.48,5.0,0.5,5.0,0.51,50.0,0.55,10.0,0.56,31.0,0.52,5.0,0.5,5.0,0.49,50.0,0.45,10.0,0.44,31.0,0.62,5.0,0.63,5.0,0.67,10.0,0.69,26.0,0.7,10.0,0.1,0.1,0.094336,1776167412000
1776167414.086,14.086,0.38,5.0,0.37,5.0,0.33,10.0,0.31,26.0,0.3,10.0,0.48,5.0,0.5,5.0,0.51,50.0,0.55,10.0,0.56,31.0,0.52,5.0,0.5,5.0,0.49,50.0,0.45,10.0,0.44,31.0,0.62,5.0,0.63,5.0,0.67,10.0,0.69,26.0,0.7,10.0,0.1,0.1,0.094335,1776167413000
1776167415.274,15.274,0.38,5.0,0.37,5.0,0.33,10.0,0.31,26.0,0.3,10.0,0.48,5.0,0.5,5.0,0.51,50.0,0.55,10.0,0.56,31.0,0.52,5.0,0.5,5.0,0.49,50.0,0.45,10.0,0.44,31.0,0.62,5.0,0.63,5.0,0.67,10.0,0.69,26.0,0.7,10.0,0.1,0.1,0.094336,1776167414000
1776167415.736,15.736,0.42,11.9,0.38,5.0,0.37,5.0,0.34,10.0,0.31,26.0,0.44,3.92,0.48,5.0,0.5,5.0,0.51,50.0,0.55,10.0,0.52,5.0,0.5,5.0,0.49,50.0,0.45,10.0,0.44,31.0,0.62,5.0,0.63,5.0,0.67,10.0,0.69,26.0,0.7,10.0,0.02,0.1,0.094336,1776167414000
1776167416.89,16.89,0.42,11.9,0.38,5.0,0.37,5.0,0.34,10.0,0.31,26.0,0.44,3.92,0.48,5.0,0.5,5.0,0.51,50.0,0.55,10.0,0.56,3.92,0.52,5.0,0.5,5.0,0.49,50.0,0.45,10.0,0.58,11.9,0.62,5.0,0.63,5.0,0.66,10.0,0.69,26.0,0.02,0.02,0.094336,1776167416000
1776167418.068,18.068,0.42,11.9,0.38,5.0,0.37,5.0,0.34,10.0,0.31,26.0,0.44,3.92,0.48,5.0,0.5,5.0,0.51,50.0,0.55,10.0,0.56,3.92,0.52,5.0,0.5,5.0,0.49,50.0,0.45,10.0,0.58,11.9,0.62,5.0,0.63,5.0,0.66,10.0,0.69,26.0,0.02,0.02,0.094337,1776167417000
1776167419.366,19.366,0.42,11.9,0.38,5.0,0.37,5.0,0.34,10.0,0.31,26.0,0.44,3.92,0.48,5.0,0.5,5.0,0.51,50.0,0.55,10.0,0.56,3.92,0.52,5.0,0.5,5.0,0.49,50.0,0.45,10.0,0.58,11.9,0.62,5.0,0.63,5.0,0.66,10.0,0.69,26.0,0.02,0.02,0.094337,1776167418000
