timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,doge_price,doge_oracle_ts
1776284101.165,1.165,0.47,8.51,0.45,10.0,0.5,5.0,0.55,10.0,0.5,5.0,0.45,10.0,0.53,8.51,0.55,10.0,0.03,0.03,0.095736,1776284100000
1776284102.259,2.259,0.47,8.51,0.45,10.0,0.5,5.0,0.55,10.0,0.5,5.0,0.45,10.0,0.53,8.51,0.55,10.0,0.03,0.03,0.095735,1776284101000
1776284103.226,3.226,0.47,8.51,0.45,10.0,0.5,5.0,0.55,10.0,0.5,5.0,0.45,10.0,0.53,8.51,0.55,10.0,0.03,0.03,0.095738,1776284102000
1776284104.187,4.187,0.47,8.51,0.45,10.0,0.5,5.0,0.55,10.0,0.5,5.0,0.45,10.0,0.53,8.51,0.55,10.0,0.03,0.03,0.095738,1776284103000
1776284105.253,5.253,0.47,8.51,0.45,10.0,0.5,5.0,0.55,10.0,0.5,5.0,0.45,10.0,0.53,8.51,0.55,10.0,0.03,0.03,0.095718,1776284104000
1776284106.532,6.532,0.47,8.51,0.45,10.0,0.5,5.0,0.55,10.0,0.5,5.0,0.45,10.0,0.53,8.51,0.55,10.0,0.03,0.03,0.095714,1776284105000
1776284107.182,7.182,0.47,8.51,0.45,10.0,0.5,5.0,0.55,10.0,0.5,5.0,0.45,10.0,0.53,8.51,0.55,10.0,0.03,0.03,0.095713,1776284106000
1776284108.118,8.118,0.47,8.51,0.45,10.0,0.5,5.0,0.55,10.0,0.5,5.0,0.45,10.0,0.53,8.51,0.55,10.0,0.03,0.03,0.095738,1776284107000
1776284109.032,9.032,0.47,8.51,0.45,10.0,0.5,5.0,0.55,10.0,0.5,5.0,0.45,10.0,0.53,8.51,0.55,10.0,0.03,0.03,0.09574,1776284108000
1776284109.241,9.241,0.45,15.87,0.37,5.0,0.46,5.0,0.48,5.0,0.52,5.0,0.51,5.0,0.55,18.0,0.63,5.0,0.01,0.03,0.09574,1776284108000
1776284109.519,9.519,0.45,15.87,0.36,5.0,0.47,10.0,0.48,5.0,0.54,5.0,0.52,5.0,0.55,15.87,0.63,5.0,0.02,0.01,0.09574,1776284108000
1776284110.061,10.061,0.45,10.87,0.36,5.0,0.46,5.0,0.47,10.0,0.54,5.0,0.53,10.0,0.55,10.87,0.64,5.0,0.01,0.01,0.095738,1776284109000
1776284112.504,12.504,0.35,10.0,0.33,5.0,0.46,5.0,0.47,4.25,0.53,4.25,0.52,5.0,0.55,10.87,0.64,5.0,0.11,0.02,0.095692,1776284111000
1776284112.813,12.813,0.33,10.0,0.32,5.0,0.35,5.0,0.36,5.0,0.54,5.0,0.53,4.25,0.65,10.0,0.67,5.0,0.02,0.11,0.095692,1776284111000
1776284115.052,15.052,0.35,10.0,0.34,5.0,0.36,5.0,0.37,5.0,0.65,5.0,0.64,5.0,0.67,10.0,0.68,5.0,0.01,0.02,0.095691,1776284113000
1776284116.055,16.055,0.35,3.18,0.34,10.0,0.36,5.0,0.37,5.0,0.64,5.0,0.63,5.0,0.65,10.0,0.66,5.0,0.01,0.01,0.095685,1776284114000
1776284119.019,19.019,0.34,1.96,0.33,5.0,0.35,5.0,0.36,5.0,0.64,5.0,0.63,5.0,0.65,3.18,0.66,10.0,0.01,0.01,0.095683,1776284117000
1776284130.407,30.407,0.29,5.0,0.28,5.0,0.32,5.0,0.33,5.0,0.65,5.0,0.64,5.0,0.66,1.96,0.67,5.0,0.03,0.01,0.095694,1776284129000
1776284131.093,31.093,0.25,5.0,0.24,5.0,0.28,5.0,0.29,5.0,0.67,5.0,0.66,5.0,0.71,5.0,0.72,5.0,0.03,0.04,0.095694,1776284129000
1776284131.485,31.485,0.26,5.0,0.25,5.0,0.28,5.0,0.29,5.0,0.72,5.0,0.71,5.0,0.75,5.0,0.76,5.0,0.02,0.03,0.095694,1776284130000
1776284155.752,55.752,0.25,9.67,0.24,19.3,0.28,5.0,0.29,5.0,0.71,5.0,0.7,5.0,0.74,5.0,0.75,5.0,0.03,0.03,0.09566,1776284154000
1776284156.499,56.499,0.25,13.33,0.24,19.3,0.26,5.0,0.27,5.0,0.72,5.0,0.71,5.0,0.75,9.67,0.76,19.3,0.01,0.03,0.095653,1776284155000
1776284163.455,63.455,0.26,10.5,0.25,28.9,0.27,5.0,0.28,5.0,0.74,5.0,0.73,5.0,0.75,13.33,0.76,19.3,0.01,0.01,0.095654,1776284162000
1776284174.39,74.39,0.27,13.2,0.26,10.5,0.29,5.0,0.3,5.0,0.73,5.0,0.72,5.0,0.74,10.5,0.75,28.9,0.02,0.01,0.095668,1776284173000
1776284185.359,85.359,0.29,7.6,0.28,12.9,0.3,5.0,0.31,5.0,0.7,5.0,0.69,5.0,0.73,13.2,0.74,10.5,0.01,0.03,0.095669,1776284183000
1776284196.866,96.866,0.25,12.43,0.24,14.3,0.26,5.0,0.27,5.0,0.7,5.0,0.69,5.0,0.71,7.6,0.72,12.9,0.01,0.01,0.095667,1776284195000
1776284197.243,97.243,0.25,10.97,0.24,14.3,0.26,5.0,0.27,5.0,0.74,5.0,0.73,5.0,0.75,12.43,0.76,14.3,0.01,0.01,0.095667,1776284195000
1776284197.522,97.522,0.25,5.97,0.24,14.3,0.26,5.0,0.27,5.0,0.74,5.0,0.73,5.0,0.75,10.97,0.76,14.3,0.01,0.01,0.095667,1776284195000
1776284203.451,103.451,0.19,11.89,0.18,17.6,0.2,5.0,0.21,5.0,0.74,5.0,0.73,5.0,0.75,5.97,0.76,14.3,0.01,0.01,0.095639,1776284202000
1776284218.772,118.772,0.18,5.45,0.17,18.39,0.19,5.0,0.2,5.0,0.8,5.0,0.79,5.0,0.81,11.89,0.82,17.6,0.01,0.01,0.095617,1776284217000
1776284224.972,124.972,0.17,17.18,0.16,19.3,0.18,5.0,0.19,5.0,0.81,5.0,0.8,5.0,0.82,5.45,0.83,18.39,0.01,0.01,0.095618,1776284223000
1776284245.277,145.277,0.08,34.1,0.07,39.9,0.09,5.0,0.1,5.0,0.82,5.0,0.81,5.0,0.83,7.18,0.84,19.3,0.01,0.01,0.095568,1776284244000
1776284258.462,158.462,0.06,30.14,0.05,59.7,0.07,5.0,0.08,5.0,0.91,5.0,0.9,5.0,0.92,34.1,0.93,39.9,0.01,0.01,0.095585,1776284256000
1776284259.479,159.479,0.06,24.82,0.05,59.7,0.07,5.0,0.08,5.0,0.93,5.0,0.92,5.0,0.94,30.14,0.95,59.7,0.01,0.01,0.09557,1776284258000
1776284264.439,164.439,0.04,77.7,0.03,94.3,0.06,10.32,0.07,5.0,0.94,5.32,0.93,5.0,0.95,59.7,0.96,77.7,0.02,0.01,0.09557,1776284263000
1776284268.281,168.281,0.03,5.0,0.02,152.69,0.05,5.0,0.06,10.32,0.94,10.32,0.93,5.0,0.96,77.7,0.97,94.3,0.02,0.02,0.095567,1776284267000
1776284269.913,169.913,0.03,5.0,0.02,152.69,0.05,2.05,0.06,10.32,0.95,5.0,0.94,10.32,0.97,5.0,0.98,152.69,0.02,0.02,0.095553,1776284268000
1776284272.532,172.532,0.03,5.0,0.02,152.69,0.05,2.05,0.06,10.32,0.95,2.05,0.94,10.32,0.97,5.0,0.98,152.69,0.02,0.02,0.095532,1776284271000
