timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,eth_price,eth_oracle_ts
1776369000.501,0.501,0.47,5.0,0.4,5.0,0.48,13.39,0.49,45.0,0.52,34.23,0.51,45.0,0.6,5.0,0.61,34.0,0.01,0.08,2357.833421,1776368999000
1776369000.786,0.786,0.57,15.29,0.5,32.0,0.6,5.0,0.61,34.0,0.49,40.83,0.48,5.0,0.53,5.0,0.6,5.0,0.03,0.04,2357.833421,1776368999000
1776369001.167,1.167,0.57,8.89,0.5,102.0,0.59,70.0,0.6,70.0,0.4,5.0,0.39,34.0,0.43,15.29,0.5,32.0,0.02,0.03,2357.833421,1776368999000
1776369002.015,2.015,0.5,27.0,0.47,5.0,0.53,70.0,0.54,75.0,0.4,70.0,0.39,70.0,0.5,102.0,0.51,70.0,0.03,0.1,2357.835998,1776369000000
1776369002.307,2.307,0.43,5.0,0.41,70.0,0.45,42.8,0.53,70.0,0.47,70.0,0.46,5.0,0.5,17.2,0.53,5.0,0.02,0.03,2357.835998,1776369000000
1776369002.99,2.99,0.35,70.0,0.34,70.0,0.43,65.0,0.45,42.8,0.55,42.8,0.54,70.0,0.57,5.0,0.59,70.0,0.08,0.02,2358.208423,1776369001000
1776369003.307,3.307,0.35,53.56,0.34,70.0,0.43,65.0,0.45,42.8,0.57,65.0,0.55,42.8,0.65,70.0,0.66,70.0,0.08,0.08,2358.208423,1776369001000
1776369003.52,3.52,0.39,61.81,0.31,375.0,0.45,112.8,0.5,5.0,0.57,55.34,0.55,42.8,0.66,56.96,0.67,11.52,0.06,0.09,2358.459687,1776369002000
1776369003.795,3.795,0.44,1.46,0.4,70.0,0.45,38.35,0.49,70.0,0.55,42.8,0.51,70.0,0.56,1.46,0.6,70.0,0.01,0.01,2358.459687,1776369002000
1776369004.172,4.172,0.41,120.0,0.4,70.0,0.45,28.35,0.49,70.0,0.55,38.35,0.51,70.0,0.56,1.46,0.6,70.0,0.04,0.01,2358.459687,1776369002000
1776369004.466,4.466,0.44,10.0,0.43,10.0,0.45,19.19,0.49,70.0,0.55,24.19,0.53,10.0,0.59,130.0,0.6,80.0,0.01,0.04,2357.893573,1776369003000
1776369004.943,4.943,0.43,10.0,0.42,10.0,0.45,24.79,0.49,70.0,0.55,19.19,0.51,70.0,0.56,10.0,0.57,10.0,0.02,0.01,2357.893573,1776369003000
