timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,hype_price,hype_oracle_ts
1776184211.332,11.332,,,,,,,,,,,,,,,,,,,43.714662,1776184210000
1776184211.92,11.92,0.41,10.0,0.11,100.0,0.58,10.0,0.89,100.0,0.42,10.0,0.41,12.0,0.59,10.0,0.62,13.0,0.17,0.17,43.714662,1776184210000
1776184213.927,13.927,0.41,10.0,0.11,100.0,0.58,10.0,0.89,100.0,0.42,10.0,0.11,100.0,0.59,10.0,0.89,100.0,0.17,0.17,43.713246,1776184212000
1776184214.538,14.538,0.41,10.0,0.11,100.0,0.58,10.0,0.89,100.0,0.42,10.0,0.11,100.0,0.59,10.0,0.89,100.0,0.17,0.17,43.714043,1776184213000
1776184215.15,15.15,0.41,10.0,0.11,100.0,0.58,10.0,0.89,100.0,0.42,10.0,0.11,100.0,0.59,10.0,0.89,100.0,0.17,0.17,43.718402,1776184214000
1776184216.205,16.205,0.41,10.0,0.11,100.0,0.58,10.0,0.89,100.0,0.42,10.0,0.11,100.0,0.59,10.0,0.89,100.0,0.17,0.17,43.713545,1776184215000
1776184217.351,17.351,0.41,10.0,0.11,100.0,0.58,10.0,0.89,100.0,0.42,10.0,0.11,100.0,0.59,10.0,0.89,100.0,0.17,0.17,43.714152,1776184216000
1776184217.924,17.924,0.41,10.0,0.11,100.0,0.58,10.0,0.89,100.0,0.42,10.0,0.11,100.0,0.59,10.0,0.89,100.0,0.17,0.17,43.714152,1776184217000
1776184218.922,18.922,0.41,10.0,0.11,100.0,0.58,10.0,0.89,100.0,0.42,10.0,0.11,100.0,0.59,10.0,0.89,100.0,0.17,0.17,43.715288,1776184218000
1776184219.915,19.915,0.41,10.0,0.11,100.0,0.58,10.0,0.89,100.0,0.42,10.0,0.11,100.0,0.59,10.0,0.89,100.0,0.17,0.17,43.717324,1776184219000
1776184220.934,20.934,0.41,10.0,0.11,100.0,0.58,10.0,0.89,100.0,0.42,10.0,0.11,100.0,0.59,10.0,0.89,100.0,0.17,0.17,43.717124,1776184220000
1776184222.073,22.073,0.41,10.0,0.11,100.0,0.58,10.0,0.89,100.0,0.42,10.0,0.11,100.0,0.59,10.0,0.89,100.0,0.17,0.17,43.717098,1776184221000
